sport,dport,proto,state,dur,sbytes,spkts,label
1390,53,udp,CON,0.001055,132,2,
33661,1024,udp,CON,0.036133,528,4,
1464,53,udp,CON,0.001119,146,2,Exploits
3593,53,udp,CON,0.001209,132,2,
49664,53,udp,CON,0.001169,146,2,
32119,111,udp,CON,0.078339,568,4,
2142,53,udp,CON,0.001134,132,2,
0,0,arp,INT,0,46,1,
40726,53,udp,CON,0.001126,146,2,
12660,53,udp,CON,0.001167,132,2,
0,0,arp,INT,0,46,1,
0,0,arp,INT,0,46,1,
0,0,arp,INT,0,46,1,
48847,53,udp,CON,0.001093,132,2,
24266,41049,udp,CON,0.001851,528,4,
10393,44307,udp,CON,0.001749,528,4,
62539,53,udp,CON,0.001128,132,2,
21270,111,udp,CON,0.005153,568,4,
8989,111,udp,CON,0.004898,568,4,
49346,53,udp,CON,0.001111,132,2,
21223,32780,udp,INT,2.1e-05,728,2,Exploits
23357,80,tcp,FIN,0.240139,918,12,Exploits
13284,80,tcp,FIN,2.39039,1362,14,Reconnaissance
4192,53,udp,CON,0.001101,132,2,
26872,53,udp,CON,0.001082,132,2,
24946,53,udp,CON,0.001122,132,2,
5685,53,udp,CON,0.001141,146,2,
22848,53,udp,CON,0.001164,146,2,
28565,53,udp,CON,0.001127,132,2,
46719,53,udp,CON,0.001073,132,2,
25100,53,udp,CON,0.001196,146,2,
29704,53,udp,CON,0.001101,132,2,
36998,53,udp,CON,0.001058,146,2,
6438,53,udp,CON,0.0011,132,2,
1416,53,udp,CON,0.001126,146,2,
35578,53,udp,CON,0.001017,146,2,
38902,53,udp,CON,0.001094,132,2,
9897,53,udp,CON,0.001092,132,2,
44759,53,udp,CON,0.001082,132,2,
13792,5555,tcp,FIN,0.17519,8168,14,Exploits
26939,80,tcp,FIN,0.1906,844,10,Exploits
58304,53,udp,CON,0.001089,132,2,
7419,53,udp,CON,0.001126,132,2,
12527,23202,udp,CON,0.001859,528,4,
52335,53,udp,CON,0.001152,132,2,
39558,111,udp,CON,0.004996,568,4,
47526,53,udp,CON,0.001044,146,2,
54634,53,udp,CON,0.001089,132,2,
26778,53,udp,CON,0.001122,146,2,
60756,53,udp,CON,0.001201,130,2,
25689,53,udp,CON,0.001079,132,2,
16931,38340,udp,CON,0.001864,528,4,
15133,111,udp,CON,0.0051,568,4,
58771,53,udp,CON,0.001123,132,2,
13903,53,udp,CON,0.001112,132,2,
24551,53,udp,CON,0.001066,132,2,
10510,53,udp,CON,0.001108,130,2,
39500,80,tcp,FIN,0.177449,1214,10,DoS
29309,3000,tcp,FIN,0.19491,844,10,Generic
31564,55173,udp,CON,0.011205,528,4,
44119,53,udp,CON,0.001091,130,2,
41515,53,udp,CON,0.001091,130,2,
32716,53,udp,CON,0.001135,132,2,
40309,53,udp,CON,0.001105,132,2,
47061,53,udp,CON,0.001087,146,2,
29622,111,udp,CON,0.040337,568,4,
30507,32859,udp,CON,0.0314,520,4,
56644,111,udp,CON,0.060192,568,4,
49910,53,udp,CON,0.001044,130,2,
36701,111,udp,CON,0.004565,568,4,
15807,53,udp,CON,0.001118,132,2,
57983,53,udp,CON,0.00112,132,2,
15807,53,udp,CON,0.001118,132,2,
62824,14455,udp,CON,0.001775,520,4,
26719,53,udp,CON,0.001087,146,2,
57137,53,udp,CON,0.001111,132,2,
19393,53,udp,CON,0.001118,132,2,
61089,80,tcp,FIN,0.291485,804,10,Exploits
23910,80,tcp,FIN,2.59291,2082,14,DoS
44762,80,tcp,FIN,0.232939,828,10,Exploits
4159,80,tcp,FIN,0.432056,838,10,Exploits
13987,53,udp,CON,0.00106,130,2,
34944,53,udp,CON,0.001073,132,2,
40146,53,udp,CON,0.001176,132,2,
4864,53,udp,CON,0.001214,146,2,
35110,53,udp,CON,0.001126,132,2,
6379,53,udp,CON,0.00108,146,2,
62676,53,udp,CON,0.001061,132,2,
53247,25790,udp,CON,0.00178,520,4,
61452,53,udp,CON,0.001125,146,2,
16859,53,udp,CON,0.001064,132,2,
30521,53,udp,CON,0.001083,146,2,
1809,53,udp,CON,0.001128,132,2,
37848,53,udp,CON,0.001166,132,2,
53697,111,udp,CON,0.00468,568,4,
43850,80,tcp,FIN,0.244832,876,10,Exploits
45430,53,udp,CON,0.001069,130,2,
39128,48372,udp,CON,0.001793,520,4,
4318,53,udp,CON,0.001112,146,2,
14309,53,udp,CON,0.001141,146,2,
45898,111,udp,CON,0.004906,568,4,
17491,53,udp,CON,0.001256,132,2,
37437,53,udp,CON,0.001185,130,2,
51164,53,udp,CON,0.001055,146,2,
60615,111,udp,CON,0.004837,568,4,
59256,53,udp,CON,0.001095,130,2,
26360,10351,udp,CON,0.001735,528,4,
1929,53,udp,CON,0.001067,132,2,
19947,53,udp,CON,0.001185,130,2,
4765,80,tcp,FIN,0.249003,744,10,Exploits
22359,111,udp,INT,1.7e-05,168,2,Reconnaissance
52726,80,tcp,FIN,0.513537,776,10,Exploits
11600,53,udp,CON,0.001023,130,2,
20571,53,udp,CON,0.0011,132,2,
12252,53,udp,CON,0.001109,130,2,
1344,53,udp,CON,0.001135,132,2,
8931,53,udp,CON,0.001094,130,2,
39193,53,udp,CON,0.001107,146,2,
28852,53,udp,CON,0.001207,132,2,
0,0,ospf,INT,50.004337,384,6,
0,0,ospf,INT,50.004341,384,6,
0,0,ospf,INT,50.004337,384,6,
0,0,ospf,INT,50.004341,384,6,
6211,53,udp,CON,0.001175,146,2,
46822,53,udp,CON,0.001034,132,2,
27338,53,udp,CON,0.001083,146,2,
48170,53,udp,CON,0.00112,146,2,
